date,Department,City,market,latitude,longitude,food_type,commodity,unit,usdprice
2005-01-15,Artibonite,Gonaives,Gonaives,19.45,-72.683333,cereals and tubers,Maize meal (local),Marmite,0.4554
2005-01-15,Artibonite,Gonaives,Gonaives,19.45,-72.683333,cereals and tubers,Rice (tchako),Marmite,0.7135
2005-01-15,Artibonite,Gonaives,Gonaives,19.45,-72.683333,cereals and tubers,Wheat flour (imported),Marmite,0.4554
2005-01-15,Centre,Hinche,Hinche,19.15,-72.016667,cereals and tubers,Maize meal (imported),Pound,0.0999
2005-01-15,Centre,Hinche,Hinche,19.15,-72.016667,cereals and tubers,Maize meal (local),Marmite,0.2733
2005-01-15,Centre,Hinche,Hinche,19.15,-72.016667,cereals and tubers,Rice (imported),Pound,0.1254
2005-01-15,Centre,Hinche,Hinche,19.15,-72.016667,cereals and tubers,Rice (local),Pound,0.1837
2005-01-15,Centre,Hinche,Hinche,19.15,-72.016667,cereals and tubers,Rice (tchako),Marmite,0.627
2005-01-15,Centre,Hinche,Hinche,19.15,-72.016667,cereals and tubers,Sorghum,Pound,0.0577
2005-01-15,Centre,Hinche,Hinche,19.15,-72.016667,cereals and tubers,Wheat flour (imported),Marmite,0.4053
2005-01-15,Grande'Anse,Jeremie,Jeremie,18.616667,-74.083333,cereals and tubers,Maize meal (local),Marmite,0.1761
2005-01-15,Grande'Anse,Jeremie,Jeremie,18.616667,-74.083333,cereals and tubers,Rice (imported),Pound,0.1245
2005-01-15,Grande'Anse,Jeremie,Jeremie,18.616667,-74.083333,cereals and tubers,Rice (local),Pound,0.2308
2005-01-15,Grande'Anse,Jeremie,Jeremie,18.616667,-74.083333,cereals and tubers,Rice (tchako),Marmite,0.6224
2005-01-15,Grande'Anse,Jeremie,Jeremie,18.616667,-74.083333,cereals and tubers,Sorghum,Pound,0.1123
2005-01-15,Grande'Anse,Jeremie,Jeremie,18.616667,-74.083333,cereals and tubers,Wheat flour (imported),Marmite,0.5465
2005-01-15,North,Cap-Haitien,Cap-Haitien,19.757778,-72.204167,cereals and tubers,Maize meal (imported),Pound,0.1129
2005-01-15,North,Cap-Haitien,Cap-Haitien,19.757778,-72.204167,cereals and tubers,Maize meal (local),Marmite,0.3735
2005-01-15,North,Cap-Haitien,Cap-Haitien,19.757778,-72.204167,cereals and tubers,Rice (local),Pound,0.2277
2005-01-15,North,Cap-Haitien,Cap-Haitien,19.757778,-72.204167,cereals and tubers,Sorghum,Pound,0.102
2005-01-15,North,Cap-Haitien,Cap-Haitien,19.757778,-72.204167,cereals and tubers,Wheat flour (imported),Marmite,0.4554
2005-01-15,North-East,Ouanaminthe,Ouanaminthe,19.55,-71.733333,cereals and tubers,Maize meal (imported),Pound,0.1594
2005-01-15,North-East,Ouanaminthe,Ouanaminthe,19.55,-71.733333,cereals and tubers,Maize meal (local),Marmite,0.2816
2005-01-15,North-East,Ouanaminthe,Ouanaminthe,19.55,-71.733333,cereals and tubers,Wheat flour (imported),Marmite,0.4797
2005-01-15,North-West,Port-de-Paix,Port-de-Paix,19.939051,-72.8319,cereals and tubers,Maize meal (local),Marmite,0.4175
2005-01-15,North-West,Port-de-Paix,Port-de-Paix,19.939051,-72.8319,cereals and tubers,Wheat flour (imported),Marmite,0.4554
2005-01-15,South,Les Cayes,Cayes,18.2,-73.75,cereals and tubers,Maize meal (imported),Pound,0.1093
2005-01-15,South,Les Cayes,Cayes,18.2,-73.75,cereals and tubers,Maize meal (local),Marmite,0.3643
2005-01-15,South,Les Cayes,Cayes,18.2,-73.75,cereals and tubers,Rice (local),Pound,0.1078
2005-01-15,South,Les Cayes,Cayes,18.2,-73.75,cereals and tubers,Rice (tchako),Marmite,0.6148
2005-01-15,South,Les Cayes,Cayes,18.2,-73.75,cereals and tubers,Sorghum,Pound,0.0941
2005-01-15,South,Les Cayes,Cayes,18.2,-73.75,cereals and tubers,Wheat flour (imported),Marmite,0.4478
2005-01-15,South-East,Jacmel,Jacmel,18.234167,-72.534722,cereals and tubers,Maize meal (imported),Pound,0.0947
2005-01-15,South-East,Jacmel,Jacmel,18.234167,-72.534722,cereals and tubers,Maize meal (local),Marmite,0.2733
2005-01-15,South-East,Jacmel,Jacmel,18.234167,-72.534722,cereals and tubers,Rice (local),Pound,0.2733
2005-01-15,South-East,Jacmel,Jacmel,18.234167,-72.534722,cereals and tubers,Rice (tchako),Marmite,0.5647
